SMILES,shift_value,shielding_value
FC(Cl)(Cl)C(Cl)(Cl)Cl,-64.0,263.055
[H]C([H])=C(C(=O)C1=CC=CC=C1)C(F)(F)F,-64.0,264.1183333
FC(F)(F)C1=CC=CO1,-64.0,270.8276667
[H]C([H])=C(C(=O)CCCCCCC)C(F)(F)F,-64.0,272.1686667
CP(C)C(F)(F)F,-64.0,272.39
[H]/C(C1=CC=CS1)=C(/[H])C(F)(F)F,-64.0,272.939
CCCCC/C=C/C=C/C(F)(F)F,-64.0,273.0946667
[H]/C(C1=CC=C(C)C=C1)=C(/[H])C(F)(F)F,-64.0,273.1166667
C#CCC(F)(F)F,-64.0,274.1303333
O=C(O)CC(F)(F)F,-64.0,275.5806667
CC(=O)NC1CC(C(F)(F)F)NO1,-64.09,281.45
CN1C(C(F)(F)F)CCCC1=O,-64.14,282.688
CC1CCN(C(=O)NC2NC(C(F)(F)F)CS2)C1,-64.19,282.7906667
CC1(C)CN(C(=O)C2CC[NH]N2)CCC1C(F)(F)F,-64.21,274.2723333
O=C(NC1NNC(C(F)(F)F)[NH]1)C1CCCO1,-64.32,286.7986667
FC(F)(F)C1NC[NH]N1,-64.49,288.9106667
CCOC(=O)C(F)(F)Cl,-64.5,272.202
CC1(C)CN(C(=O)C2CCNCC2)CCC1C(F)(F)F,-64.62,275.758
O=C(O)C1CCC(C(F)(F)F)O1,-64.65,285.2406667
FC(F)(F)C1CSC(N2CCNCC2)N1,-64.72,282.5453333
O=C([O-])CC1CC(C(F)(F)F)CCN1.[Na+],-64.75,278.862
OCC1CCN(C2NC(C(F)(F)F)CS2)CC1,-64.75,285.2143333
CC(O)CC(F)(F)F,-64.8,274.191
N#CC1C[NH]C(C(=O)NC2CC(C(F)(F)F)CCN2)C1,-64.84,274.7036667
O=C(NC1CC(C(F)(F)F)CCN1)C1CSCN1,-64.85,284.8776667
CNC1NC(C(F)(F)F)CO1,-64.86,283.546
FC(F)(F)C1CC2CC[NH]C2CN1,-64.86,287.1686667
CC1(C)C(C(F)(F)F)CCN1C(=O)C1CCC(O)NC1,-64.93,272.881
N#CC1CCCN(CCC(F)(F)F)C1=O,-64.93,274.069
CCOC(=O)C(F)(Br)Br,-65.0,261.567
[H]C1=C(CCC2=CC=CC=C2)OC(C(F)(F)F)=C1[H],-65.0,270.7996667
FC(F)(F)C1=CC(Cl)=NC=C1,-65.0,270.9833333
N#CCC(F)(F)F,-65.0,271.2293333
FC(F)(F)C1=CC=NC=C1,-65.0,271.242
FC(F)(F)C1=CC2=C(C=CC=C2)O1,-65.0,271.4353333
CCOC(=O)CC(F)(F)F,-65.0,271.6883333
CC(F)(F)F,-65.0,272.5196667
FC(F)(F)CC1=CC=CC(CC(F)(F)F)=N1,-65.0,274.117
[H]/C(CCCC)=C(/[H])C(F)(F)F,-65.0,274.23
CCCC/C=C/C(F)(F)F,-65.0,274.23
[H]/C(CCCCCC)=C(/[H])C(F)(F)F,-65.0,274.246
[H]/C(C(C)=O)=C(/[H])C(F)(F)F,-65.0,274.917
[H]C([H])=C([H])CC(F)(F)F,-65.0,275.8423333
O=C(CCC(F)(F)F)C1=CC=CC=C1,-65.0,276.9546667
FC(F)(F)C1CCNC(N2CCCOCC2)C1,-65.09,285.0936667
CC1(C)C(C(F)(F)F)CCN1C(=O)NC1CCCNC1,-65.15,273.8673333
CC1NN(C)CC1-C1CSC(CC(F)(F)F)N1,-65.2,274.142
NC1CNCCC1C(F)(F)F,-65.2,281.8336667
O=C1C(C(F)(F)F)CCCN1CC1CCC1,-65.24,277.1553333
NC1NNC(CC(F)(F)F)S1,-65.27,275.9026667
CC1CCCNC1CN1CCCC(C(F)(F)F)C1=O,-65.28,277.09
CC1NC(CN2CCCC(C(F)(F)F)C2=O)SC1C,-65.33,277.2026667
N#CC1CCCCC1CN1CCCC(C(F)(F)F)C1=O,-65.36,273.072
N#CC1CCC(CN2CCCC(C(F)(F)F)C2=O)CC1,-65.37,273.1286667
