SMILES,shielding_value,shift_value
O=C1[NH]CNC2C(C(F)(F)F)CCCC12,279.5383333,-59.99
[H]C(F)(CCCCCCCC)OC(C)=O,351.176,-129.0
O=C(N[C@H]1C[C@@H]1C(F)F)C1CCCCC1,318.728,-115.79
FC(F)(F)C1=C(C(F)(F)F)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,256.5516667,-52.3
CC1NOC(C)C1NC(=O)C1CCCCC1C(F)(F)F,281.7803333,-58.88
FC(F)COC1CCC(Cl)CN1,335.6795,-126.59
C[Si](C)(C)F,366.865,-158.0
CC1CC(C(=O)O)C(C(F)(F)F)O1,281.9536667,-61.73
OC1(C(F)(F)F)CCN(CC2CC=CCC2)CC1,293.7963333,-84.34
O=C(C1CCC(OC(F)F)CN1)N1CCC1,283.7235,-82.9
FC(F)(Br)C1=CC=CC=C1,249.622,-44.0
C=CC(=C)F,308.952,-120.0
CC1(C)C(C(F)(F)F)CCN1C(=O)C1CCC(O)NC1,272.881,-64.93
CC1CC(CNC2CCNCC2F)C(C)O1,377.49,-151.11
O=C1CC(C(F)(F)F)=NC2CCCCC2N1,282.0773333,-73.42
COC1CCN(C2CCCC(C(F)F)C2C#N)CC1,331.2045,-112.37
N#CC(F)C1=CC=CC=C1,390.078,-168.0
O=C(NC1CCCCC1)C(=O)N1CCCC(F)(CO)C1,380.856,-168.14
CN1CCC(C(=O)N2CCCC(C(F)(F)F)C2)CC1=O,282.4983333,-71.47
[H]/C(C1=CC=C(C)C=C1)=C(/[H])C(F)(F)F,273.1166667,-64.0
CC(C(=O)N1C[C@@H](F)C[C@H]1CO)N1CCCN1,374.18,-170.13
O=C(O)C1N[NH]CC1F,375.971,-171.91
O=C(C1CCNCC1)N1CCC[C@@H]1C(F)F,339.2005,-126.04
CC1CCNC(N2CC(CF)C2)C1C#N,426.146,-227.37
O=S(=O)(Cl)C(F)(F)F,272.6086667,-76.0
O=S1(=O)CCC[C@@]2(C(F)(F)F)CNC[C@H]21,280.191,-73.25
CC1(F)CCCN(C(=O)CC2CCCO2)C1,356.918,-151.94
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,279.9986667,-59.95
COC1CCNCC1NC(=O)C1(C)CC1F,418.782,-211.04
CC1CCCCC1C1(C(=O)N2CCOC(C(F)F)C2)CC1,341.3755,-130.73
N#CCC(=O)N1CCN(CC(F)F)CC1,329.656,-119.95
N#CC1CCCC(CN2CC(C(F)(F)F)C2)C1,282.7143333,-72.13
[H]C1=C([H])N(C)N=C1F,328.892,-129.0
O=C(CN1CCCN1)N1CCCC1CF,416.258,-220.05
CC1CCCNC1CN1CCCC(C(F)(F)F)C1=O,277.09,-65.28
O=C(O)C1CCC(C(F)(F)F)O1,285.2406667,-64.65
CS(=O)C(F)(F)F,278.9436667,-80.0
F/C(Cl)=C(/F)Cl,300.584,-106.0
CS(=O)(=O)N1CCC(O)(C(F)(F)F)C1,287.7873333,-80.14
FC(F)(OC1=CC=CC=C1)C1=CC=CC=C1,284.0475,-66.0
N#CC1CCC(CN2CCCC(C(F)(F)F)C2=O)CC1,273.1286667,-65.37
CSC1=NC(=O)C=CN1C(F)F,302.205,-107.0
CCCCC1=C(F)N(C)N=C1C,338.622,-139.0
