SMILES,shielding_value,shift_value
CC1C(Cl)C(C(F)F)NN1CC(=O)O,332.8655,-115.72
O=C1NCCN1CC1CCCC(F)C1,386.812,-113.44
CC1NOCC1CN1CCCC1CF,421.539,-222.48
CN1CCC2C(CCCN2C2CCCC(F)C2C#N)C1,390.23,-106.37
[H]C([H])=C(C(F)(F)F)C(F)(F)F,271.6103333,-65.7
CC1CC(F)CC(C(=O)NC(C)C2NCON2)C1,392.383,-113.44
CCC(=O)NC1CCC(C(F)(F)F)NN1,287.3246667,-66.65
CN(CC(F)(F)F)[C@H]1CC[C@H](O)CC1,283.242,-69.88
N#CCCN1CCC(C(F)(F)F)N1,282.6093333,-61.71
O[C@@H]1CCN(C2NC3C(F)CCCC3O2)C1,393.061,-131.73
