SMILES,shift_value,split
CC1[NH]NC(C(=O)NC2(C(F)F)CC2)C1C,-120.74,Train
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,-62.55,Train
[H]/C(C(C)=O)=C(/[H])C(F)(F)F,-65.0,Train
O=C(O)CN1CCCC(C(F)(F)F)C1=O,-66.97,Train
[H]C(F)(Br)C(=O)OCC,-151.0,Train
O=S(=O)(CCC(F)(F)F)N1CCOCC2(CC2)C1,-65.55,Train
[H]/C(C1=CC=CS1)=C(/[H])C(F)(F)F,-64.0,Train
O=C(NC1NNC(C(F)(F)F)[NH]1)C1CCCO1,-64.32,Train
O=C(O)C1CCCN1CC(F)(F)F,-68.77,Train
FC1=COC2=CC=CC=C12,-177.0,Train
OCC(F)(F)C1=CC=CC=C1,-107.9,Train
CC1(F)CCCN(CC2CSNN2)C1,-148.4,Train
N[C@@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.31,Train
CCOC(=O)C(F)(F)C1=CC=CC=C1,-104.0,Train
CC1C(=O)NCCCN1CC(F)(F)F,-71.07,Train
CCC(O)C(F)(F)CC,-111.8,Train
FC(F)(F)C1=CC2=CC=CC=C2C=C1,-62.0,Train
O=C1CCCCC1(F)F,-111.0,Train
FC(F)C1=CC=CC=C1,-115.0,Train
FC1=C(C2=CC=CC=C2)OC2=CC=CC=C21,-170.0,Train
CC1CCC(C(F)(F)F)CC1NC(=O)C1CCCN1,-62.0,Train
CC(C)C(F)(F)C(C)C,-120.0,Train
CCC(F)(F)CC,-102.4,Train
O=C(O)C1CCCC(C(F)F)N1,-116.69,Train
OCCCC(F)(F)F,-67.4,Train
CC1(F)CCN(C(=O)N2CCOCC2)C1,-143.6,Train
CCN1NCNC1CN1CCCC(C)(F)C1,-147.64,Train
CC1(C(=O)N2CCCC2CF)COC1,-229.29,Train
CCOC(=O)C(F)C1=CC=CC=C1,-180.0,Train
NC(=O)N1CCNC(=O)C1C1CCC(C(F)(F)F)CC1,-62.26,Train
[H]C1=C(C(F)(F)F)N(C2=CC=CC=C2)N=C1C,-62.5,Train
Cl.O=C1CNCCN1CC1CCC(C(F)(F)F)CC1,-62.15,Train
FCC(Cl)(Cl)Cl,-198.0,Train
Cl.NCC1CCCC(C(F)(F)F)O1,-74.66,Train
CC1CNC(N2C[C@@H](F)C[C@H]2CO)S1,-169.72,Train
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,-62.15,Train
FC(F)C1=CC=CS1,-102.0,Train
FC(F)(F)C1CC(CN2CCCC2)N[NH]1,-61.54,Train
[H]C([H])=C(F)C(C)=O,-116.0,Train
CC(F)F,-110.0,Train
CC1NSC(N(C)CC(F)F)N1,-122.45,Train
O=C(C1CCCO1)C(F)(F)C1=CC(Cl)=CC=C1,-102.0,Train
CCCCCCCC(O)OCC(F)(F)F,-74.0,Train
CC(=O)NC1CC(C)NN1-C1CCCCC1C(F)(F)F,-60.5,Train
CC1CCN(C(=O)N2CC(CF)C2)CC1,-227.07,Train
CC1CCC(CN2CCCC(C)(F)C2)NN1,-148.03,Train
CN1CC(N)C(C(F)(F)F)N1,-60.66,Train
