SMILES,shift_value,split
FC(F)(F)C1CNC2[NH]NNC2C1,-59.97,Train
O=C(C1CCCC1)N1CCOC2CCCC(F)C21,-113.9,Train
CC1CNCCC1NC(=O)C1(CF)CCC1,-219.24,Train
O=C(NC1CC(F)CCC1C(=O)O)C1CCOC1,-107.13,Train
N#CCNC1(C2CCC(F)CC2)CCOCC1,-115.4,Train
CC1CN(C(=O)C2CCOCC2)C2CCC(F)CC2O1,-114.26,Train
O=C1[NH]NCC(NCC2CCC(F)CC2)C1Cl,-115.46,Train
CN(CC1CCNCC1F)C1CCN(C)N1,-131.41,Train
[H]N1C=CC(F)=C1,-169.0,Train
O=C(CCC(F)(F)F)C1=CC=CC=C1,-65.0,Train
CC1NC(C)C(C(=O)NC2CCC(F)CC2)S1,-116.53,Train
