SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CC1CCC2C(N1)OCCN2C(=O)C1CCC(F)CC1C,-110.85,380.029,386.546855972151,6.517855972150983
O=C(O)C1CC(-C2CCC(F)CC2)NO1,-110.88,386.504,396.9989600084263,10.494960008426231
N#CC1CC(F)CCC1CN1CNCN1,-110.93,384.634,399.8853426913135,15.251342691313482
CC1CC(F)CC(S(=O)(=O)N2CCCC2CN)C1.Cl,-110.99,381.263,406.4723907959966,25.209390795996622
FCC1=NC2=CC=CC=C2C2=C1C=CC=C2,-111.0,419.883,423.2473460290476,3.364346029047624
FC1CCCC(Cl)C1-C1NN[NH]N1,-111.09,382.26,396.466461316294,14.206461316293996
CCC1CCCCN1C(=O)NC1CCC(C(N)=O)C(F)C1,-111.12,380.519,386.8533222197929,6.334322219792909
CC1NC(N)N(-C2CCC(F)CC2C)N1,-111.17,377.837,378.6760591752465,0.8390591752465184
CC1NC(C(=O)N2CCCC2)NN1-C1CCC(F)CC1,-111.2,380.817,395.1088845052349,14.291884505234918
NC(=O)C1CCCCC1NC(=O)C1CCC(F)C(Cl)C1,-111.21,380.141,387.8953628804829,7.754362880482859
O=S(=O)(NC1CCCNC1)C1CCCCC1F,-111.21,382.336,391.094257808832,8.758257808832013
N[C@H]1CCN(C(=O)C2CCN(-C3CCCC(F)C3)N2)C1,-111.23,380.123,389.1958108061112,9.07281080611125
N#CC1C(F)CCCC1CN1CCOCC1,-111.25,382.522,392.9310192382935,10.409019238293524
CNC(=O)C1NC(C)N(-C2CCC(F)CC2)N1,-111.25,384.625,401.36387150011967,16.73887150011967
NC1NC(-C2CCC(F)CC2)N[NH]1,-111.26,400.586,399.9248956883948,-0.6611043116052429
O=S(=O)(NC1CCCC1)C1CCCCC1F,-111.33,398.234,397.21439355924855,-1.0196064407514314
CC1CC(F)CC(S(=O)(=O)N2CCCC2)C1,-111.35,395.939,390.8711706066322,-5.067829393367788
CC1CCN(S(=O)(=O)C2CC(CO)CCC2F)CC1,-111.38,384.4,383.4865608594217,-0.9134391405783048
O=C(C1CCCO1)N1CCCSC2CCC(F)CC21,-111.43,376.35,388.95699859102336,12.60699859102334
