feature,importance
ECFP_F_706,0.0024063232651521543
NumHAcceptors,0.0023058220949637386
Morgan_726,0.0023043576073072535
Morgan_64,0.0022987652751252307
Morgan_914,0.002248914067848741
MACCS_165,0.0022461693413027687
ECFP_F_215,0.002160155111093054
MACCS_107,0.002030328117183537
Morgan_208,0.001865039068770301
LogP,0.0016775563339256133
MACCS_121,0.001606985902369354
Morgan_650,0.0015885515874044652
Morgan_72,0.0015597887441236957
ECFP_F_251,0.0015089604413809324
MACCS_159,0.0014708363512469396
MACCS_142,0.0014663478856551601
Morgan_39,0.0014514069467565214
MACCS_153,0.001436523114571233
MACCS_85,0.0014342562501305765
Morgan_494,0.0014284661016263419
ECFP_F_466,0.0013960519617137398
MACCS_92,0.001369656798710935
MACCS_164,0.0013578609187463975
Morgan_893,0.0013475188621576326
ECFP_F_519,0.0013410423536128464
ECFP_F_356,0.0013336092093426657
Morgan_540,0.001327554138608446
ECFP_F_399,0.001312077177107157
Morgan_215,0.0013073135661526031
ECFP_F_469,0.0012914591529628215
Morgan_340,0.0012516033474929405
MACCS_98,0.0011977190689071654
MACCS_136,0.0011749372987835557
ECFP_F_1005,0.0011704491556900354
MACCS_108,0.001157030917894694
NumRotatableBonds,0.0011284664950898626
ECFP_F_578,0.0011066404143394656
Morgan_910,0.001098401942301265
Morgan_807,0.0010901301247497578
MACCS_82,0.001057159426801776
MACCS_86,0.0010396504849598804
Morgan_50,0.0010122747287509928
Morgan_140,0.0009984472647573913
ECFP_F_767,0.0009877500533396625
MACCS_138,0.0009767455900720802
Morgan_356,0.0009614381572421869
Morgan_285,0.0009462048119244696
NumHDonors,0.000935463836179401
MACCS_131,0.0009324204168931168
ECFP_F_432,0.0009277794343809619
Morgan_869,0.0008918589372436402
MACCS_37,0.0008859910940136657
MACCS_75,0.0008715366741648068
Morgan_61,0.0008586587203459585
ECFP_F_111,0.000858598474870159
MACCS_66,0.0008305104439302086
Morgan_251,0.0008277334382305519
ECFP_F_699,0.0008227629487742315
ECFP_F_741,0.0008198675519922905
Morgan_456,0.0008197160086832275
Morgan_800,0.0008109565287264286
MACCS_77,0.0008034035073145431
Morgan_739,0.0007954741498056474
ECFP_F_7,0.0007936092064529385
Morgan_752,0.0007890635439330964
MACCS_95,0.0007846937442405786
Morgan_389,0.0007828040232738501
MACCS_122,0.0007796692114282703
Morgan_90,0.0007781733596989525
Morgan_379,0.000777972121706889
Morgan_890,0.0007721302581937116
Morgan_318,0.0007627410184742159
Morgan_699,0.0007607875060494913
Morgan_362,0.0007561109588181105
MACCS_97,0.0007555697749987719
Morgan_175,0.0007516422795238557
ECFP_F_209,0.0007514224144817805
Morgan_470,0.0007446696995474145
Morgan_532,0.0007437539586602907
ECFP_F_1019,0.0007436383636413483
Morgan_799,0.0007357961385630754
Morgan_387,0.0007257071400380606
Morgan_378,0.0007221616250163413
Morgan_33,0.0007162077567711389
MACCS_116,0.0007113652030311256
Morgan_585,0.0007067230992940741
Morgan_936,0.0007038843153742396
ECFP_F_974,0.0006997896829212645
Morgan_974,0.0006994806553561826
MACCS_132,0.0006839026041048937
ECFP_F_260,0.0006756650753656831
MACCS_83,0.0006558191064533291
Morgan_483,0.00065559640399914
MACCS_160,0.0006480442311493674
Morgan_204,0.0006398291439061918
Morgan_659,0.0006344617640116974
Morgan_138,0.0006276799464403144
Morgan_935,0.0006270432358739722
ECFP_F_396,0.000625476897380493
Morgan_36,0.0006233024362011992
MACCS_101,0.0006177567748646402
Morgan_212,0.0006132937004636341
MACCS_96,0.0006103167457375277
Morgan_1012,0.0006048462879780365
MACCS_105,0.0005985179310044365
Morgan_80,0.00059587590632319
Morgan_5,0.000585245290886932
Morgan_213,0.0005846274038378494
ECFP_F_869,0.0005826760822657956
MACCS_157,0.0005720385852765948
MACCS_148,0.0005680018027291837
Morgan_577,0.0005631476926562361
Morgan_717,0.000556996598221422
Morgan_588,0.0005476823550712261
ECFP_F_319,0.0005467348131954497
ECFP_F_912,0.0005461357966318429
Morgan_679,0.0005369752934753964
Morgan_903,0.0005361409801335097
Morgan_610,0.0005288297742044653
MACCS_65,0.0005267772403488656
Morgan_305,0.0005257519031746711
MACCS_120,0.0005230856099896459
MACCS_155,0.0005226391149815749
Morgan_294,0.0005218945437437555
MACCS_149,0.0005207753846866215
Morgan_580,0.0005191100497616379
Morgan_835,0.0005185038889995022
MACCS_154,0.0005165838354454184
Morgan_147,0.0005130858390010343
Morgan_207,0.0005079196542746117
ECFP_F_43,0.0005041370370206395
MACCS_93,0.0004956887497656248
Morgan_66,0.0004936695147880966
Morgan_38,0.0004893092193810198
Morgan_284,0.0004873924466297401
Morgan_250,0.0004870777835809353
MACCS_79,0.00048410522818822204
Morgan_195,0.0004840793946063038
ECFP_F_625,0.0004779942229391251
MACCS_115,0.0004729740061323
Morgan_1023,0.00047076884445861625
MACCS_62,0.00046953011672621345
MACCS_139,0.0004676640991922657
