SMILES,shift_value,shielding_value,reg_class,reg_prob,priority_class,residual_to_target_line
CS(=O)(=O)NC1CC(C(F)(F)F)C[NH]C1=O,-62.21,282.8653333,0,0.8568848551852364,1,16.63768540542973
NC(=O)C1CC1C1CCCC(C(F)(F)F)C1,-62.22,275.8046667,0,0.8281642432021665,1,10.212796803057444
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCOCC1,-62.24,282.4426667,0,0.8550562787720637,1,16.223676457189192
Cl.NC[C@@H]1C[C@H]1C1CCCC(C(F)(F)F)C1,-62.25,284.5116667,0,0.8645782760743548,1,18.09344295378429
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCNC1=O,-62.26,283.31,0,0.8590444373017351,1,16.991682295140485
NC(=O)N1CCNC(=O)C1C1CCC(C(F)(F)F)CC1,-62.26,284.5716667,0,0.8648872769248991,1,18.13795527364686
O=C(NC1NC(C(F)(F)F)C[NH]1)C1CCCO1,-62.27,285.1033333,0,0.8674130184810035,1,18.61099493630449
O=C(C1CCOCC1)N1CCC2C1CCCC2C(F)(F)F,-62.28,277.686,0,0.8351702817338462,1,11.862060846686605
CCC(=O)N1CCOC(C2CCC(C(F)(F)F)CC2)C1,-62.28,279.3906667,0,0.8419692544074083,1,13.410816453511842
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)O1,-62.3,271.91,0,0.8161580746719435,1,6.594341521247557
N[C@@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.31,284.2073333,0,0.8633257384234596,1,17.75694429302314
CC1(C)CN(C(=O)CC(F)(F)F)C2CCCCC2O1,-62.33,274.6373333,0,0.8243274431413307,1,9.042229274939316
CC1NNC(CN2CC(C(F)(F)F)CC(Cl)C2=O)O1,-62.33,277.517,0,0.8346014197274009,1,11.658517812406998
CC1[NH]NC(C(F)(F)F)C1Cl,-62.35,277.1306667,0,0.8331630469465843,1,11.287519072020809
Cl.NC1(C2CCC(C(F)(F)F)CC2)CCC1,-62.35,283.949,0,0.8622318231781412,1,17.482238501677124
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,-62.36,284.2763333,0,0.8637831093608125,1,17.76963346086508
O=C(O)CC1SC2CCC(C(F)(F)F)CC2NC1=O,-62.36,284.4766667,0,0.8647201564034279,1,17.951644100531112
O=C(NC1CCCC(C(F)(F)F)C1)C1CCCNC1,-62.42,280.087,0,0.8451583181503471,1,13.90346217985477
CC1(C)NC(=O)N(CC2CCCC(C(F)(F)F)C2)C1=O,-62.42,283.8063333,0,0.8617514003602919,1,17.2826202886081
CC1CN(C(=O)CC(F)(F)F)C2CCCNC2O1,-62.43,270.2546667,0,0.8120141380484894,1,4.960407215767425
O=C1NCCN1C1CCCC(C(F)(F)F)C1,-62.45,285.652,0,0.8705207574778447,1,18.92947984711041
CN1NC(C(=O)NC2CCCC(C(F)(F)F)C2)CCC1=O,-62.47,279.719,0,0.843697741901355,1,13.519119951364187
CC1CC(N)N(-C2CC(C(F)(F)F)CCC2Cl)N1,-62.47,283.951,0,0.862550805611203,1,17.364055579005907
[H]C1=C(C(F)(F)F)N(C2=CC=CC=C2)N=C1C,-62.5,264.515,0,0.8028384722039322,1,0.3243019018172788
[H]C1=C(C)N(C2=CC=CC=C2)N=C1C(F)(F)F,-62.5,269.6196667,0,0.8105513077310509,1,4.313485163888316
CN(C(=O)CC(F)(F)F)C1CCC2C(C1)OCO2,-62.5,274.9323333,0,0.8254499236105785,1,9.14024818093037
